x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-10.83800E-03,+11.51250000E+00,-500.00000E-03,-550.00000E-03,-1.05875002E+00
-10.78800E-03,+2.73750000E+00,-500.00000E-03,-387.50000E-03,-488.75002E-03
-10.73800E-03,+15.63750000E+00,-575.00000E-03,-550.00000E-03,-232.50002E-03
-10.68800E-03,+11.82500000E+00,-662.50000E-03,-312.50000E-03,-1.01500002E+00
-10.63800E-03,+1.25000000E+00,-262.50000E-03,-387.50000E-03,-1.19250002E+00
-10.58800E-03,+10.17500000E+00,-500.00000E-03,-625.00000E-03,-205.00002E-03
-10.53800E-03,+15.72500000E+00,-500.00000E-03,-625.00000E-03,-732.50002E-03
-10.48800E-03,+11.35000000E+00,-575.00000E-03,-625.00000E-03,-1.14000002E+00
-10.43800E-03,+2.97500000E+00,-737.50000E-03,-625.00000E-03,-407.50002E-03
-10.38800E-03,+15.56250000E+00,-500.00000E-03,-550.00000E-03,-418.75002E-03
-10.33800E-03,+11.51250000E+00,-500.00000E-03,-312.50000E-03,-1.19125002E+00
-10.28800E-03,+1.38750000E+00,-575.00000E-03,-312.50000E-03,-1.05125002E+00
-10.23800E-03,+11.28750000E+00,-737.50000E-03,-312.50000E-03,-186.25002E-03
-10.18800E-03,+15.48750000E+00,-500.00000E-03,-387.50000E-03,-988.75002E-03
-10.13800E-03,+11.35000000E+00,-575.00000E-03,-550.00000E-03,-1.40250002E+00
-10.08800E-03,+2.97500000E+00,-662.50000E-03,-387.50000E-03,-403.75002E-03
-10.03800E-03,+15.48750000E+00,-262.50000E-03,-700.00000E-03,-692.50002E-03
-9.98800E-03,+11.27500000E+00,-425.00000E-03,-862.50000E-03,-1.35125002E+00
-9.93800E-03,+2.73750000E+00,-337.50000E-03,-625.00000E-03,-956.25002E-03
-9.88800E-03,+15.48750000E+00,-737.50000E-03,-625.00000E-03,-261.25002E-03
-9.83800E-03,+11.35000000E+00,-500.00000E-03,-550.00000E-03,-1.32375002E+00
-9.78800E-03,-925.00000E-03,-425.00000E-03,-312.50000E-03,-1.71125002E+00
-9.73800E-03,+2.38750000E+00,-262.50000E-03,-387.50000E-03,-291.25002E-03
-9.68800E-03,+12.05000000E+00,-500.00000E-03,-625.00000E-03,-13.75002E-03
-9.63800E-03,+9.71250000E+00,-425.00000E-03,-550.00000E-03,-37.50002E-03
-9.58800E-03,+5.01250000E+00,-262.50000E-03,-312.50000E-03,-37.50002E-03
-9.53800E-03,+11.26250000E+00,-575.00000E-03,-312.50000E-03,-52.50002E-03
-9.48800E-03,+9.62500000E+00,-737.50000E-03,-387.50000E-03,-77.50002E-03
-9.43800E-03,+4.36250000E+00,-500.00000E-03,-550.00000E-03,-6.25002E-03
-9.38800E-03,+7.62500000E+00,-575.00000E-03,-312.50000E-03,-6.25002E-03
-9.33800E-03,+11.11250000E+00,-662.50000E-03,-312.50000E-03,-13.75002E-03
-9.28800E-03,+8.70000000E+00,-187.50000E-03,-312.50000E-03,-45.00002E-03
-9.23800E-03,+3.83750000E+00,-337.50000E-03,-387.50000E-03,-61.25002E-03
-9.18800E-03,+10.25000000E+00,-737.50000E-03,-625.00000E-03,-30.00002E-03
-9.13800E-03,+8.07500000E+00,-500.00000E-03,-550.00000E-03,-13.75002E-03
-9.08800E-03,+2.61250000E+00,-575.00000E-03,-237.50000E-03,-37.50002E-03
-9.03800E-03,+7.87500000E+00,-737.50000E-03,-75.00000E-03,-37.50002E-03
-8.98800E-03,+10.25000000E+00,-500.00000E-03,-312.50000E-03,-45.00002E-03
-8.93800E-03,+9.42500000E+00,-500.00000E-03,-387.50000E-03,-53.75002E-03
-8.88800E-03,+7.41250000E+00,-575.00000E-03,-625.00000E-03,-13.75002E-03
-8.83800E-03,+9.23750000E+00,-812.50000E-03,-625.00000E-03,-37.50002E-03
-8.78800E-03,+6.97500000E+00,-737.50000E-03,-625.00000E-03,-30.00002E-03
-8.73800E-03,+2.88750000E+00,-500.00000E-03,-550.00000E-03,-21.25002E-03
-8.68800E-03,+9.80000000E+00,-500.00000E-03,-312.50000E-03,-68.75002E-03
